# ['cf:id', 'edge_type', 'prov:activity', 'prov:entity', 'x0_accept', 'x0_accept_socket', 'x0_addressed', 'x0_arg', 'x0_associated_disc', 'x0_bind', 'x0_clone', 'x0_clone_mem', 'x0_connect', 'x0_connect_unix_stream', 'x0_derived_disc', 'x0_env', 'x0_exec', 'x0_exec_task', 'x0_file_lock', 'x0_file_rcv', 'x0_file_sigio', 'x0_free', 'x0_generated_disc', 'x0_getattr', 'x0_getpgid', 'x0_getxattr', 'x0_getxattr_inode', 'x0_influenced_disc', 'x0_informed_disc', 'x0_inode_create', 'x0_link', 'x0_listen', 'x0_listxattr', 'x0_load_certificate', 'x0_load_file', 'x0_load_firmware', 'x0_load_firmware_prealloc_buffer', 'x0_load_kexec_image', 'x0_load_kexec_initramfs', 'x0_load_module', 'x0_load_policy', 'x0_load_undefined', 'x0_load_unknown', 'x0_log', 'x0_memory_read', 'x0_memory_write', 'x0_mmap_exec', 'x0_mmap_exec_private', 'x0_mmap_read', 'x0_mmap_read_private', 'x0_mmap_write', 'x0_mmap_write_private', 'x0_msg_create', 'x0_munmap', 'x0_named', 'x0_open', 'x0_packet_content', 'x0_perm_append', 'x0_perm_exec', 'x0_perm_read', 'x0_perm_write', 'x0_ptrace_attach', 'x0_ptrace_attach_task', 'x0_ptrace_read', 'x0_ptrace_read_task', 'x0_ptrace_traceme', 'x0_ran_on', 'x0_read', 'x0_read_ioctl', 'x0_read_link', 'x0_receive', 'x0_receive_msg', 'x0_receive_msg_queue', 'x0_receive_packet', 'x0_receive_unix', 'x0_removexattr', 'x0_removexattr_inode', 'x0_rename', 'x0_search', 'x0_send', 'x0_send_msg', 'x0_send_msg_queue', 'x0_send_packet', 'x0_send_unix', 'x0_setattr', 'x0_setattr_inode', 'x0_setpgid', 'x0_setuid', 'x0_setxattr', 'x0_setxattr_inode', 'x0_sh_attach_readv', 'x0_sh_attach_write', 'x0_sh_create_read', 'x0_sh_create_write', 'x0_sh_read', 'x0_sh_write', 'x0_shmdt', 'x0_socket_create', 'x0_socket_pair_create', 'x0_splice_in', 'x0_splice_out', 'x0_symlink', 'x0_terminate_proc', 'x0_terminate_task', 'x0_unknown', 'x0_unlink', 'x0_used_disc', 'x0_version_activity', 'x0_version_entity', 'x0_write', 'x0_write_ioctl']
14,0,189,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,199,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,188,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,195,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,194,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,196,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,193,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,187,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,192,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,191,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
